"id","class_room_id","day_of_week","period_number","school_id","status","subject_id","tutor_id","weekly_timetable_id","subject_name","tutor_name"
"24865","1","MONDAY",1,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24866","1","MONDAY",2,"1","ASSIGNED","1","T001","41","English","Tutor 01"
"24867","1","MONDAY",3,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24868","1","MONDAY",4,"1","ASSIGNED","1","T001","41","English","Tutor 01"
"24869","1","MONDAY",5,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24870","1","MONDAY",6,"1","ASSIGNED","2","T003","41","Tamil","Tutor 03"
"24871","1","MONDAY",7,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24872","1","MONDAY",8,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24873","1","TUESDAY",1,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24874","1","TUESDAY",2,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24875","1","TUESDAY",3,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24876","1","TUESDAY",4,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24877","1","TUESDAY",5,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24878","1","TUESDAY",6,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24879","1","TUESDAY",7,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24880","1","TUESDAY",8,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24881","1","WEDNESDAY",1,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24882","1","WEDNESDAY",2,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24883","1","WEDNESDAY",3,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24884","1","WEDNESDAY",4,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24885","1","WEDNESDAY",5,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24886","1","WEDNESDAY",6,"1","ASSIGNED","1","T001","41","English","Tutor 01"
"24887","1","WEDNESDAY",7,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24888","1","WEDNESDAY",8,"1","ASSIGNED","2","T003","41","Tamil","Tutor 03"
"24889","1","THURSDAY",1,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24890","1","THURSDAY",2,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24891","1","THURSDAY",3,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24892","1","THURSDAY",4,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24893","1","THURSDAY",5,"1","ASSIGNED","2","T003","41","Tamil","Tutor 03"
"24894","1","THURSDAY",6,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24895","1","THURSDAY",7,"1","ASSIGNED","1","T001","41","English","Tutor 01"
"24896","1","THURSDAY",8,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24897","1","FRIDAY",1,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24898","1","FRIDAY",2,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24899","1","FRIDAY",3,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24900","1","FRIDAY",4,"1","ASSIGNED","2","T003","41","Tamil","Tutor 03"
"24901","1","FRIDAY",5,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24902","1","FRIDAY",6,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24903","1","FRIDAY",7,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24904","1","FRIDAY",8,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24905","1","SATURDAY",1,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24906","1","SATURDAY",2,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24907","1","SATURDAY",3,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
"24908","1","SATURDAY",4,"1","CONFLICT",NULL,NULL,"41",NULL,NULL
"24909","1","SATURDAY",5,"1","CONFLICT",NULL,NULL,"41",NULL,NULL
"24910","1","SATURDAY",6,"1","CONFLICT",NULL,NULL,"41",NULL,NULL
"24911","1","SATURDAY",7,"1","CONFLICT",NULL,NULL,"41",NULL,NULL
"24912","1","SATURDAY",8,"1","CONFLICT",NULL,NULL,"41",NULL,NULL
"24913","2","MONDAY",1,"1","ASSIGNED","7","T014","41","Zoology","Tutor 14"
"24914","2","MONDAY",2,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24915","2","MONDAY",3,"1","ASSIGNED","4","T011","41","Physics","Tutor 11"
"24916","2","MONDAY",4,"1","ASSIGNED","1","T008","41","English","Tutor 08"
"24917","2","MONDAY",5,"1","ASSIGNED","1","T001","41","English","Tutor 01"
"24918","2","MONDAY",6,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24919","2","MONDAY",7,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24920","2","MONDAY",8,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24921","2","TUESDAY",1,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24922","2","TUESDAY",2,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24923","2","TUESDAY",3,"1","ASSIGNED","2","T003","41","Tamil","Tutor 03"
"24924","2","TUESDAY",4,"1","ASSIGNED","5","T012","41","Chemistry","Tutor 12"
"24925","2","TUESDAY",5,"1","ASSIGNED","1","T001","41","English","Tutor 01"
"24926","2","TUESDAY",6,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24927","2","TUESDAY",7,"1","ASSIGNED","6","T013","41","Botany","Tutor 13"
"24928","2","TUESDAY",8,"1","ASSIGNED","2","T003","41","Tamil","Tutor 03"
"24929","2","WEDNESDAY",1,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24930","2","WEDNESDAY",2,"1","ASSIGNED","4","T004","41","Physics","Tutor 04"
"24931","2","WEDNESDAY",3,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24932","2","WEDNESDAY",4,"1","ASSIGNED","3","T002","41","Maths","Tutor 02"
"24933","2","WEDNESDAY",5,"1","ASSIGNED","6","T006","41","Botany","Tutor 06"
"24934","2","WEDNESDAY",6,"1","ASSIGNED","7","T007","41","Zoology","Tutor 07"
"24935","2","WEDNESDAY",7,"1","ASSIGNED","5","T005","41","Chemistry","Tutor 05"
