"id","class_room_id","day_of_week","period_number","school_id","status","subject_id","tutor_id","weekly_timetable_id","subject_name","tutor_name"
"13294","58","SATURDAY",6,"1","CONFLICT","21",NULL,"34","Physics",NULL
"13295","58","SATURDAY",7,"1","ASSIGNED","18","T022","34","Computer Science","Tutor 22"
"13296","58","SATURDAY",8,"1","CONFLICT","24",NULL,"34","Zoology",NULL
"15287","52","WEDNESDAY",7,"1","CONFLICT","20",NULL,"35","Maths",NULL
"15288","52","WEDNESDAY",8,"1","CONFLICT","20",NULL,"35","Maths",NULL
"15289","52","THURSDAY",1,"1","ASSIGNED","25","T029","35","Tamil","Tutor 29"
"15290","52","THURSDAY",2,"1","ASSIGNED","18","T021","35","Computer Science","Tutor 21"
"15291","52","THURSDAY",3,"1","ASSIGNED","25","T029","35","Tamil","Tutor 29"
"15292","52","THURSDAY",4,"1","CONFLICT","21",NULL,"35","Physics",NULL
"15293","52","THURSDAY",5,"1","CONFLICT","20",NULL,"35","Maths",NULL
"15294","52","THURSDAY",6,"1","CONFLICT","24",NULL,"35","Zoology",NULL
"15295","52","THURSDAY",7,"1","CONFLICT","22",NULL,"35","Chemistry",NULL
"15296","52","THURSDAY",8,"1","CONFLICT","22",NULL,"35","Chemistry",NULL
"15297","52","FRIDAY",1,"1","CONFLICT","22",NULL,"35","Chemistry",NULL
"15298","52","FRIDAY",2,"1","CONFLICT","21",NULL,"35","Physics",NULL
"15299","52","FRIDAY",3,"1","ASSIGNED","26","T029","35","English","Tutor 29"
"15300","52","FRIDAY",4,"1","ASSIGNED","20","T033","35","Maths","Tutor 33"
"15301","52","FRIDAY",5,"1","ASSIGNED","25","T029","35","Tamil","Tutor 29"
"15302","52","FRIDAY",6,"1","CONFLICT","23",NULL,"35","Botany",NULL
"15303","52","FRIDAY",7,"1","CONFLICT","22",NULL,"35","Chemistry",NULL
"15304","52","FRIDAY",8,"1","CONFLICT","21",NULL,"35","Physics",NULL
"15305","52","SATURDAY",1,"1","CONFLICT","21",NULL,"35","Physics",NULL
"15306","52","SATURDAY",2,"1","ASSIGNED","17","T021","35","Moral Science","Tutor 21"
"15307","52","SATURDAY",3,"1","CONFLICT","23",NULL,"35","Botany",NULL
"15308","52","SATURDAY",4,"1","ASSIGNED","19","T012","35","Physical Training","Tutor 12"
"15309","52","SATURDAY",5,"1","CONFLICT","22",NULL,"35","Chemistry",NULL
"15310","52","SATURDAY",6,"1","CONFLICT","24",NULL,"35","Zoology",NULL
"15311","52","SATURDAY",7,"1","CONFLICT","23",NULL,"35","Botany",NULL
